EmployeeID,Age,PastEmployee,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
47,45,No,Travel_Rarely,Human Resources,4,3,Life Sciences,3,Female,1,3,Human Resources,3,Married,9756,4,No,21,4,2,9,2,4,5,0,0,3
48,24,No,Travel_Frequently,Human Resources,10,3,Medical,1,Male,3,1,Human Resources,4,Married,2145,0,No,14,3,1,3,2,3,2,2,2,1
49,30,Yes,Travel_Frequently,Human Resources,8,3,Human Resources,3,Female,2,1,Human Resources,4,Divorced,2180,6,No,11,3,1,6,0,2,4,2,1,2
50,43,No,Travel_Rarely,Human Resources,2,3,Life Sciences,2,Male,3,1,Human Resources,4,Single,3539,0,No,13,3,0,10,5,3,9,7,1,8
51,37,No,Travel_Rarely,Human Resources,8,2,Other,3,Male,3,2,Human Resources,2,Divorced,4071,2,No,13,3,0,19,4,2,10,0,4,7
52,38,No,Non-Travel,Human Resources,2,3,Human Resources,1,Male,3,1,Human Resources,2,Divorced,2592,5,No,13,3,3,13,3,3,11,10,3,8
53,26,Yes,Travel_Rarely,Human Resources,20,2,Medical,4,Female,3,1,Human Resources,2,Married,2148,0,Yes,11,3,0,6,3,3,5,1,1,4
54,31,Yes,Travel_Rarely,Human Resources,18,5,Human Resources,4,Male,4,1,Human Resources,1,Married,2956,0,No,17,3,0,2,4,3,1,0,0,0
55,29,Yes,Travel_Rarely,Human Resources,13,3,Human Resources,1,Male,2,1,Human Resources,1,Divorced,2335,4,Yes,15,3,3,4,3,3,2,2,2,0
56,28,No,Non-Travel,Human Resources,1,2,Life Sciences,3,Male,3,1,Human Resources,4,Divorced,2706,1,No,15,3,1,3,2,3,3,2,2,2
57,29,No,Travel_Rarely,Human Resources,6,1,Medical,4,Male,2,1,Human Resources,2,Married,2804,1,No,11,3,0,1,3,3,1,0,0,0
58,36,No,Travel_Frequently,Human Resources,2,1,Human Resources,2,Male,2,2,Human Resources,4,Single,3886,1,No,21,4,0,10,2,2,10,1,0,8
59,27,Yes,Travel_Frequently,Human Resources,22,3,Human Resources,1,Female,2,1,Human Resources,2,Married,2863,1,No,12,3,0,1,2,3,1,0,0,0
60,38,No,Travel_Frequently,Human Resources,1,4,Other,4,Male,3,1,Human Resources,2,Married,2991,0,Yes,11,3,1,7,2,3,6,2,1,2
61,55,No,Travel_Rarely,Human Resources,26,4,Human Resources,3,Male,4,5,Manager,2,Married,19636,4,Yes,18,3,1,35,0,3,10,9,1,4
62,25,No,Travel_Rarely,Human Resources,2,3,Human Resources,3,Female,3,1,Human Resources,2,Married,2187,4,No,14,3,0,6,3,3,2,0,1,2
63,35,No,Travel_Rarely,Human Resources,26,4,Life Sciences,3,Female,3,3,Human Resources,4,Single,8837,1,Yes,16,3,0,9,2,3,9,0,1,7
64,49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,1,10,3,3,10,7,1,7
65,37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,0,7,3,3,0,0,0,0
66,33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,0,8,3,3,8,7,3,0
67,27,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,1,6,3,3,2,2,2,2
68,32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,0,8,2,2,7,7,3,6
69,59,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,3,12,3,2,1,0,0,0
70,30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,1,1,2,3,1,0,0,0
71,38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,4,0,10,2,3,9,7,1,8
72,36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,17,3,2,7,7,7,7
73,35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,1,6,5,3,5,4,0,3
74,29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,0,10,3,3,9,5,0,8
75,31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,17,3,1,5,1,2,5,2,4,3
76,34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,1,3,2,3,2,2,1,2
77,28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,0,6,4,3,4,2,0,3
78,29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,1,10,1,3,10,9,8,8
79,32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,2,7,5,2,6,2,0,5
80,22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,1,2,2,1,0,0,0
81,38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,0,6,3,3,3,2,1,2
82,24,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,1,5,5,2,4,2,1,3
83,34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,11,3,0,13,4,3,12,6,2,11
84,21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,0,0,6,3,0,0,0,0
85,34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,No,11,3,0,8,2,3,4,2,1,3
86,53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,No,11,3,1,26,3,2,14,13,4,8
87,32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,Yes,22,4,0,10,5,3,10,2,6,7
88,44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,14,3,1,24,4,3,22,6,5,17
89,33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,0,7,3,3,1,1,0,0
90,44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,0,9,5,4,4,2,1,3
91,30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,0,10,5,3,10,0,1,8
92,24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,6,2,2,2,0,2,0
93,43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,No,12,3,2,6,3,2,5,3,1,4
94,36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,1,6,3,4,1,1,0,0
95,35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,1,1,3,3,1,0,0,0
96,27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,1,1,6,3,1,0,0,0
97,26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,0,1,2,2,1,0,0,1
98,30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,0,12,2,3,12,8,3,7
99,41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,12,3,0,23,0,3,22,15,15,8
100,37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,0,8,1,3,1,0,0,0
101,35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,0,1,2,3,1,0,0,1
102,48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,0,23,2,3,1,0,0,0
103,28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,0,2,3,2,2,2,2,2
104,35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,1,10,3,3,4,0,2,3
105,33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,0,15,1,3,15,14,8,12
106,35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,1,4,3,3,2,2,2,2
107,31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,1,10,3,2,7,7,1,7
108,37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,1,7,2,4,7,5,0,7
109,32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,1,9,3,3,9,8,7,8
110,38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,0,10,2,3,10,3,9,9
111,50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,1,29,2,2,27,3,13,8
112,36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,3,17,2,3,17,14,12,8
113,55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,21,2,3,5,0,0,2
114,36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,0,6,3,3,6,5,0,3
115,45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,1,25,2,3,1,0,0,0
116,35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,1,5,2,2,3,2,1,2
117,36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,2,0,2,1,0,0,0
118,29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,4,1,6,3,3,5,4,0,4
119,31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,0,1,4,3,1,1,1,0
120,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,10,3,3,10,4,0,9
121,36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,0,5,3,3,1,0,0,0
122,31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,0,11,2,3,11,7,1,8
123,45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,0,17,3,4,0,0,0,0
124,37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,13,3,0,16,3,4,5,2,0,2
125,30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,2,10,1,2,10,8,3,0
126,35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,3,0,6,3,3,6,4,0,4
127,38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,3,17,3,3,13,11,1,9
128,34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,0,5,2,3,5,2,1,3
129,56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,0,37,3,2,6,4,0,2
130,51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,10,4,3,4,2,0,3
131,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,3,11,3,3,11,10,10,8
132,40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,22,4,1,22,3,2,22,3,11,11
133,46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,1,21,5,2,10,9,9,5
134,54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,9,No,12,3,1,16,5,1,4,3,0,3
135,44,No,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,4,No,12,3,1,17,3,4,3,2,1,2
136,32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,0,1,2,3,1,0,0,0
137,20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,0,1,5,3,1,0,1,0
138,34,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,1,No,14,3,0,16,3,3,16,13,2,10
139,37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,1,17,2,4,1,0,0,0
140,50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,3,Yes,19,3,0,28,1,2,8,3,0,7
141,25,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,1,No,11,3,2,2,2,3,2,2,2,1
142,22,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,0,1,5,3,0,0,0,0
143,51,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,3,No,20,4,0,23,1,2,13,12,12,8
144,34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,1,Yes,24,4,0,9,3,3,9,7,0,6
145,24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,0,No,12,3,1,6,2,3,5,3,1,2
146,34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,6,No,15,3,1,12,3,3,1,0,0,0
147,34,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,11631,2,No,12,3,0,14,6,3,11,10,5,8
148,36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,5,No,22,4,1,7,2,3,1,0,0,0
149,30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,1,No,25,4,3,10,2,2,10,7,0,9
150,56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,9,Yes,18,3,3,7,2,3,5,4,4,3
151,51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,7,No,13,3,0,23,5,3,20,18,15,15
152,26,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,1,No,19,3,0,5,3,2,5,4,4,3
153,58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,1,No,12,3,1,40,3,2,40,10,15,6
154,22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,0,No,14,3,1,3,2,3,2,1,2,1
155,49,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,1,No,14,3,0,16,2,2,15,11,5,11
156,43,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,4,No,12,3,0,18,2,3,3,2,1,2
157,36,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,6,No,20,4,2,7,0,3,3,2,0,1
158,51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,2,No,15,3,0,18,2,3,4,2,0,3
159,32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,7,No,22,4,0,10,2,4,5,4,0,4
160,45,No,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,3452,5,No,13,3,0,9,2,2,6,5,0,3
161,38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,3,Yes,20,4,0,19,2,3,3,2,2,2
162,30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,1,No,14,3,0,5,4,2,5,4,0,4
163,30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,5,No,14,3,1,8,3,3,3,2,2,2
164,30,No,Travel_Rarely,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,0,No,13,3,0,6,3,3,5,3,1,2
165,41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,4,No,13,3,1,21,2,2,7,6,7,7
166,41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,2,No,21,4,1,7,2,3,5,0,1,4
167,19,No,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,1,No,14,3,0,1,3,3,1,0,0,0
168,40,No,Travel_Frequently,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,1,No,11,3,1,20,2,3,20,7,2,13
169,45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,8,No,18,3,1,20,2,1,17,9,0,15
